index,tid,loc_name,loc_number,loc_type,address_1,country,city,state,phone,postal_code,group_branch_number,latitude,longitude,update_timestamp,RunDate,InsertUpdateTime,RunID,brand
0,103985,Lihue Kuhio Hwy.,LIHC61,CITY,3-3257 Kuhio Hwy,US,Lihue,HI,+1 808-241-5580,96766,36EL,21.990878,-159.366127,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:53:49,46292,ENTERPRISE
1,103986,Lihue Airport,LIHT61,AIRPORT,3276 Hoolimalima Pl,US,Lihue,HI,+1 844-914-1553,96766,3642,21.9799,-159.3502,2021-05-03 00:00:00,2022-05-03 08:50:05,2022-05-03 08:53:49,46292,ENTERPRISE
2,103987,Schofield Barracks (Military Only),E13651,CITY,694 Mccormack Ave Bldg 694,US,Schofield Barrack,HI,+1 808-671-5399,96786,3651,21.498478,-158.008438,2022-04-06 00:00:00,2022-05-03 08:50:05,2022-05-03 08:54:09,46292,ENTERPRISE
3,103988,Molokai Airport,MKKT71,AIRPORT,Bldg #2 Airport Loop Mkk,US,Hoolehua,HI,+1 808-567-6381,96729,36A8,21.156484,-157.0984,2021-10-07 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:44,46292,ALAMO
4,103989,Kailua,E13610,CITY,134a Hamakua Dr,US,Kailua,HI,+1 808-261-4282,96734,3610,21.391604,-157.743429,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
5,103990,Kaneohe Bay MCBH,E13607,CITY,Mokapu Mall Bldg 6109 Ste A121,US,Kaneohe Bay Mcbh,HI,+1 808-254-0808,96863,3607,21.4493,-157.7688,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
6,103991,Kaneohe,E13602,CITY,46-003 Alaloa Street,US,Kaneohe,HI,+1 808-261-4282,96744,3602,21.4167,-157.8061,2022-03-23 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
7,103992,Waikiki Beach Marriott Resort,HNLR63,CITY,2552 Kalakaua Ave,US,Honolulu,HI,+1 808-926-4149,96815,36ME,21.272622,-157.823136,2022-04-02 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
8,103993,Waikiki Discovery Bay Center,HNLC62,CITY,1778 Ala Moana Blvd Ste 202,US,Honolulu,HI,+1 808-979-2600,96815,36E7,21.284952,-157.838059,2021-08-30 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
9,103994,Hilton Hawaiian Village,HNLC65,CITY,2005 Kalia Rd,US,Honolulu,HI,+1 808-955-3757,96815,36HV,21.2832,-157.8369,2022-01-10 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
10,103995,Honolulu Ala Moana,E13604,CITY,1221 Kapiolani Blvd,US,Honolulu,HI,+1 808-591-1449,96814,3604,21.295,-157.8476,2022-04-19 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
11,103996,Honolulu Ahua St.,E13603,CITY,609 Ahua St,US,Honolulu,HI,+1 808-836-7722,96819,3603,21.33508,-157.8988,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
12,103997,Honolulu International Airport,HNLT61,AIRPORT,300 Rodgers Blvd,US,Honolulu,HI,+1 844-913-0737,96819,36E1,21.333568,-157.917952,2022-03-29 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
13,103998,Aiea/Pearl City,E13605,CITY,98-761 Oihana Pl Suite D4,US,Aiea,HI,+1 808-484-9007,96701,3605,21.391787,-157.952715,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
14,103999,Hickam AFB (Military Only),E13650,CITY,"2028, 355 Mamiya Ave",US,Jbphh,HI,+1 808-836-7722,96853,3650,21.31,-157.93,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
15,104000,Honolulu Waipahu,E13601,CITY,94-050 Farrington Hwy,US,Waipahu,HI,+1 808-671-5399,96797,3601,21.3779,-158.0254,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:55:55,46292,ENTERPRISE
16,104001,Kapolei Disney Aulani Resort,HNLR69,CITY,92 1185 Ali Inui Dr,US,Kapolei,HI,+1 808-489-9150,96707,36EA,21.3388,-158.1233,2021-12-20 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:06,46292,ENTERPRISE
17,104002,Kapolei Ko Olina Marriott Beach Club,E13658,CITY,92-161 Waipahe Pl,US,Kapolei,HI,+1 808-671-5399,96707,3658,21.331689,-158.120013,2021-06-17 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:06,46292,ENTERPRISE
18,104003,Kahului Airport,OGGT61,AIRPORT,101 Airport Access Road,US,Kahului,HI,+1 844-914-1547,96732,36E4,20.8919,-156.4631,2021-08-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:46,46292,ENTERPRISE
19,104004,Kahului Hana Hwy.,E13620,CITY,40 Hana Hwy,US,Kahului,HI,+1 808-871-1511,96732,3620,20.8926,-156.4638,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:46,46292,ENTERPRISE
20,104005,Wailea Resort,OGGR63,CITY,Wailea Marriott Onsite,US,Kihei,HI,+1 808-879-4620,96753,364E,20.687669,-156.439555,2022-04-27 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:46,46292,ENTERPRISE
21,104006,Wailea Grand Wailea Resort,OGGR64,CITY,3850 Wailea Alanui Dr,US,Kihei,HI,+1 808-891-3957,96753,36EG,20.683329,-156.439603,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:46,46292,ENTERPRISE
22,104007,Kapalua-West Maui Airport,JHMO61,AIRPORT,30 Halawai Dr,US,Lahaina,HI,+1 808-661-7181,96761,36E8,20.924971,-156.692891,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:48,46292,ENTERPRISE
23,104008,LahainaÂ Sheraton Maui Resort,JHMR62,CITY,2605 Kaanapali Pkwy,US,Lahaina,HI,+1 808-661-8804,96761,367E,20.9267,-156.6947,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:56:48,46292,ENTERPRISE
24,104009,Hilo Pohakuloa Training Area,E136PT,CITY,Pohakuloa Training Area,US,Hilo,HI,+1 808-961-5157,96720,36PT,19.729722,-155.09,2020-12-24 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:30,46292,ENTERPRISE
25,104010,Hilo International Airport,ITOT61,AIRPORT,1363 Kekuanaoa St,US,Hilo,HI,+1 844-913-0733,96720,36E5,19.712722,-155.042669,2021-05-05 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:30,46292,ENTERPRISE
26,104011,Hilo Halekauila St.,E13632,CITY,10 Halekauila St,US,Hilo,HI,+1 808-934-0359,96720,3632,19.7045,-155.0638,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:30,46292,ENTERPRISE
27,104012,Waikoloa Beach Marriott Resort,KOAR61,CITY,69-275 Waikoloa Beach Dr,US,Waikoloa,HI,+1 808-886-0762,96738,365E,19.916828,-155.883859,2021-05-27 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:30,46292,ENTERPRISE
28,104013,Kona International Airport,KOAT61,AIRPORT,73 107 Aulepe Street,US,Kailua Kona,HI,+1 844-914-1549,96740,3635,19.735038,-156.037211,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:31,46292,ENTERPRISE
