Rank,Name,Location,Overview,Total Rooms,Starting Rate in ($),Dining Area,Drinking Area,Hotel Ammenties,Address,Number
1,Capella Bangkok,Bangkok,A calming riverside oasis in the centre of cacophonous Bangkok,101,600, Côte by Mauro Colagreco and Phra Nakhon, Stella," Swimming pool(s), spa/wellness centre, fitness centre, pet friendly, family friendly","300, 2 Charoen Krung Rd, Yan Nawa, Sathon, Bangkok 10120, Thailand",+66 2 098 3888
2,Passalacqua,Lake Como,A sumptuous Lake Como retreat made for enjoying la dolce vita,24,1300, The Garden Terrace, Bar Terrace," Spa/wellness centre, fitness centre, family friendly","Via Besana, 59, 22010 Moltrasio CO, Italy",+39 031 44311
3,Rosewood Hong Kong,Hong Kong,Masterful minimalism meets marble-lined luxury,413,650, Bluhouse and The Dining Room, Darkside," Swimming pool, spa/wellness centre, fitness centre, family friendly, Rosewood Explorers Club","18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",+852 3891 8888
4,Cheval Blanc,Paris,Uber-stylish riverside luxury and world-class gastronomy meet in Paris,72,3000, Langosteria, Le Tout-Paris," Swimming pool(s), spa/wellness centre, fitness centre, pet friendly, family friendly","8 Quai du Louvre, 75001 Paris, France",+33 1 40 28 00 00
5,The Upper House,Hong Kong,A temple of Zen high above Hong Kong,117,650, Salisterra,," Swimming pool, fitness centre, family friendly","88 Queensway, Admiralty, Hong Kong",
6,Raffles Singapore,Singapore,History marries hospitality at this original city centre oasis,115,2000, Butcher's Block, Long Bar," Swimming pool(s), spa/wellness centre, fitness centre, family friendly","1 Beach Rd, Singapore 189673",+65 6337 1886
7,Aman Tokyo,Tokyo,"Light-filled, spacious escape in bustling Tokyo",84,1800, Arva Restaurant, The Lounge by Aman," Swimming pool(s), spa/wellness centre, fitness centre, family friendly","The Otemachi Tower, 1 Chome-5-6 ?temachi, Chiyoda City, Tokyo 100-0004, Japan",+81 3-5224-3333
8,Soneva Fushi,Maldives,Sublime island luxury with a focus on sustainability,72,2800," Once Upon a Table and So Hands On by Akira, among others", By the Bar," Beach, swimming pool(s), spa/wellness centre, fitness centre, family friendly","Kunfunadhoo Island, Eydhafushi, Maldives",+960 660-0304
9,Atlantis The Royal,Dubai,The epitome of over-the-top extravagance,795,460," Dinner by Heston Blumenthal and Jaleo by José Andrés, among others", Cloud 22," Over 90 swimming pools, Skyblaze fountain, waterpark, aquarium, dolphin bay, sea lion point, helipad, beach club","The Palm Jumeirah, Crescent Rd, Dubai, United Arab Emirates",+971 4 426 3000
10,Nihi Sumba,Sumba Island,"Refined, rustic luxury in remote Indonesia",27,1300, Ombak, Nio Beach Club & Pool," Beach, chocolate factory, equestrian stables, surf/boat house, swimming pool(s), spa/wellness centre, fitness centre","Hoba Wawi, Wanokaka, West Sumba Regency, East Nusa Tenggara, Indonesia",+62 361 757149
11,Claridge's,London,The darling of the London luxury scene,269,1200, Claridge’s Restaurant, Claridge’s Bar," Art gallery, swimming pool(s), spa/wellness centre, fitness centre, pet friendly, family friendly","Brook Street, London W1K 4HR, United Kingdom",+44 020 7629 8860
12,Mandarin Oriental Bangkok,Bangkok,A 148-year-old testament to the joys of great hotels,331,757, Le Normandie by Alain Roux, The Bamboo Bar," Swimming pool(s), spa/wellness centre, fitness centre, family friendly","48 Oriental Ave, Khwaeng Bang Rak, Bang Rak, Bangkok 10500, Thailand",+66 2 659 9000
13,Raffles London at The OWO,London,"History, secrecy and heritage combine in one of London’s new luxury hotspots",120,1650, Mauro's Table," The Guards Bar, Spy Bar"," Swimming pool(s), Spa/wellness centre, Fitness centre, Spa","57 Whitehall, London SW1A 2BX",+44 020 3907 7500
